"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
85,"10275","Houghton",320,320,1445,80.522491349481,56.038062283737,-24.4844290657439,24.4844290657439,"Forest Industry","Forest Industry",FALSE,TRUE
86,"5226","Keweenaw",280,280,1253,73.2083000798085,48.7406225059856,-24.4676775738228,24.4676775738228,"Forest Industry","Forest Industry",FALSE,TRUE
87,"5183","Keweenaw",160,160,726,76.3292011019284,52.1776859504132,-24.1515151515152,24.1515151515152,"Forest Industry","Forest Industry",FALSE,TRUE
88,"18922","Houghton",45.81,45.81,234,46.7179487179487,22.6923076923077,-24.025641025641,24.025641025641,"Forest Industry","Trust",TRUE,TRUE
89,"12034","Keweenaw",80,80,355,78.3971830985916,54.4281690140845,-23.969014084507,23.969014084507,"Forest Industry","Forest Industry",FALSE,TRUE
90,"17644","Houghton",40,40,183,77.3661202185792,53.4699453551913,-23.896174863388,23.896174863388,"Forest Industry","Forest Industry",FALSE,TRUE
91,"18914","Houghton",20,20,90,76.3777777777778,52.5666666666667,-23.8111111111111,23.8111111111111,"Forest Industry","Forest Industry",FALSE,TRUE
92,"6146","Keweenaw",80,80,360,76.4361111111111,52.6361111111111,-23.8,23.8,"Forest Industry","Forest Industry",FALSE,TRUE
93,"10335","Houghton",599.62,599.62,2480,82.6754032258064,58.9112903225806,-23.7641129032258,23.7641129032258,"Forest Industry","Forest Industry",FALSE,TRUE
94,"10195","Houghton",40,40,176,69.25,45.5,-23.75,23.75,"Forest Industry","Forest Industry",FALSE,TRUE
95,"10185","Houghton",120,120,546,77.7783882783883,54.1208791208791,-23.6575091575092,23.6575091575092,"Forest Industry","Forest Industry",FALSE,TRUE
96,"10281","Houghton",640,640,2870,80.3282229965157,57.2693379790941,-23.0588850174216,23.0588850174216,"Forest Industry","Forest Industry",FALSE,TRUE
97,"4952","Houghton",80,NA,351,57.9116809116809,80.6923076923077,22.7806267806268,22.7806267806268,"Forest Industry","non-CFP in 2026",FALSE,FALSE
98,"26761","Houghton",40,40,182,79.489010989011,56.8791208791209,-22.6098901098901,22.6098901098901,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
99,"21447","Keweenaw",80,80,332,43.8584337349398,65.7560240963855,21.8975903614458,21.8975903614458,"Forest Industry","Other Business",TRUE,TRUE
100,"10366","Houghton",40,40,181,42.9005524861878,21.1049723756906,-21.7955801104972,21.7955801104972,"Forest Industry","Forest Industry",FALSE,TRUE
101,"10283","Houghton",160,160,715,79.7972027972028,58.186013986014,-21.6111888111888,21.6111888111888,"Forest Industry","Forest Industry",FALSE,TRUE
102,"6171","Keweenaw",80,80,367,77.3896457765668,55.7847411444142,-21.6049046321526,21.6049046321526,"Forest Industry","Forest Industry",FALSE,TRUE
103,"4217","Keweenaw",40,40,180,58.3166666666667,79.9111111111111,21.5944444444444,21.5944444444444,"Forest Industry","Other Business",TRUE,TRUE
104,"5257","Keweenaw",80,80,351,52.7350427350427,74.2222222222222,21.4871794871795,21.4871794871795,"Forest Industry","Other Business",TRUE,TRUE
105,"21458","Keweenaw",160,160,720,51.5319444444444,72.8013888888889,21.2694444444445,21.2694444444445,"Forest Industry","Other Business",TRUE,TRUE
106,"10343","Houghton",360,360,1630,80.4030674846626,59.2226993865031,-21.1803680981595,21.1803680981595,"Forest Industry","Forest Industry",FALSE,TRUE
107,"12042","Keweenaw",596.58,596.58,2685,75.9947858472998,54.9720670391061,-21.0227188081937,21.0227188081937,"Forest Industry","Forest Industry",FALSE,TRUE
108,"11994","Keweenaw",640,640,2824,59.6735127478754,80.6876770538244,21.014164305949,21.014164305949,"Forest Industry","Other Business",TRUE,TRUE
109,"10340","Houghton",359.68,359.68,1612,80.0967741935484,59.182382133995,-20.9143920595534,20.9143920595534,"Forest Industry","Forest Industry",FALSE,TRUE
110,"17642","Houghton",40,40,180,72.2055555555555,51.3333333333333,-20.8722222222222,20.8722222222222,"Forest Industry","Forest Industry",FALSE,TRUE
111,"12026","Keweenaw",631.18,631.18,2810,49.3003558718861,70.1313167259786,20.8309608540925,20.8309608540925,"Forest Industry","Other Business",TRUE,TRUE
112,"18919","Houghton",20,20,93,58.1505376344086,78.7849462365591,20.6344086021505,20.6344086021505,"Forest Industry","Forest Industry",FALSE,TRUE
113,"12036","Keweenaw",560,560,2552,59.8213166144201,80.3867554858934,20.5654388714734,20.5654388714734,"Forest Industry","Forest Industry",FALSE,TRUE
114,"5068","Houghton",319.72,319.72,1318,59.1403641881639,79.6767830045523,20.5364188163885,20.5364188163885,"Forest Industry","Forest Industry",FALSE,TRUE
115,"10385","Houghton",40,40,184,60.8097826086956,81.1304347826087,20.3206521739131,20.3206521739131,"Forest Industry","Trust",TRUE,TRUE
116,"10270","Houghton",557.68,557.68,2510,55.5741035856574,75.4394422310757,19.8653386454183,19.8653386454183,"Forest Industry","Forest Industry",FALSE,TRUE
117,"26010","Houghton",80,80,368,75.4809782608696,55.758152173913,-19.7228260869565,19.7228260869565,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
